image,title,year,rating,description,genres
1122.jpg,Hangover 2: From Vegas to Bangkok,2011.0,6.5,"The adventures of four inseparable friends who had previously thrown a grand party in Las Vegas. The same guys continue to travel the world in order to remember their pastime forever. This time, the friendly quartet is going to the picturesque capital of Thailand, where the wedding celebration of one of the friends is planned. After the events of the last trip, they no longer want to test fate for strength, hoping for quiet and peaceful gatherings in the circle of family and loved ones. Stu's desire to play a lavish but safe wedding is supported by associates. But can this four be calm when everyone is together? As always, everything doesn't go according to plan, because the seductive Thai nights and chastity are incompatible concepts for the old, promiscuous ""peppers"". What happened in the United States of America will remain there, and here they are waiting for new achievements that cannot go without attention. Inspired by the simple curious stories of the past, the main characters go on the road, towards unbridled fun, alcohol and all-consuming madness, forgetting about relatives and everyday affairs. Their motto is to take everything from life!","['comedy', 'detective']"
1123.jpg,Hangover in Vegas,2009.0,7.7,"On the eve of his wedding - Doug goes with a group of friends to Vegas to have a bachelor party there. But, coming to his senses the next day, the company does not remember anything, plus discovers that the culprit of the celebration is lost. Next, they try to restore the timeline of events. In addition to the fact that the groom's friends do not find Doug, they have a lot of additional problems. Phil, Stew and Alan do not remember what happened last night, and the posh hotel where they stayed is in total chaos. By the way, they find an unknown child there. In an attempt to reconstruct all the events, the trio faces all kinds of adventures and learns about the enchanting details of last night.",['comedy']
1124.jpg,Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,"Interstellar adventures in a galaxy far, far away continue. Barely recovering from the defeat in the previous installment and losing the Death Star - its main weapon, the Empire decides to strike back. The positions of resistance find themselves under heavy fire from opponents of democracy. The rebels are losing planet after planet in such an unequal battle. Experiencing significant losses, the main characters are forced to separate. Princess Leia and Han Solo are heading to the cloudy city. Luke Skywalker arrives on the planet Dagobah to meet the last representative of the Jedi Order - Master Yoda. Young Skywalker has to tame the Force, which is the connecting spiritual link in the universe. If he succumbs to the temptation of negative emotions, then the Dark Side of the Force will consume him, which once happened to Darth Vader. Civil war between the Empire and the rebels, the horrors of endless space, betrayal and hopelessness - this is what awaits the heroes on the way. But the main test will fall on the shoulders of Luke Skywalker: the confrontation with the secret of his origin.","['adventure', 'fantasy']"
1125.jpg,Star Wars: Episode IV - A New Hope,1977.0,8.6,"Tatooine is a desert planet where Obi-Wan Kenobi met a young boy named Luke Skywalker. Rebels confront the Emperor. On the way, the mentor and student accept new members into their team - Han Solo, a brave pilot, and a couple of droids R2D2 and C-3PO. A motley company is on its way. Their main goal is to find the leader of the rebels - Princess Leia. Meanwhile, the dangerous villain Darth Vader intends to strike.","['adventure', 'fantasy']"
1126.jpg,Star Wars: Episode I - The Hidden Threat,1999.0,6.5,"Brave Jedi Knight Qui-Gon Jin sets out on a journey to rescue the noble Queen Amidala. However, by the will of fate, he is brought to the small planet Tatooine. There he meets the little slave boy Anakin. Now the hero has no doubts that an incredible amount of power is concentrated in his new friend. Perhaps Anakin will have a great chance to restore the balance of good and evil in this galaxy. Freed from slavery, the handsome man begins to undergo training that will enable him to become invincible and incredibly strong. Everything doesn't always work out the first time, but the handsome man steadily continues to follow the path to great happiness. Meanwhile, new unrest begins in the Galaxy. Everything is to blame for the appearance of the Sith, who want to seize power. For this, they are ready to go to any lengths. And that is why a creature is needed, capable of repelling their blow and restoring the former state of affairs. Will the boy cope with the task?","['adventure', 'fantasy']"
1127.jpg,John Carter: Between Two Worlds,2012.0,6.6,"At the epicenter of the plot is a veteran of the American Civil War. John Carter was ""lucky"" to balance between the North and the South. After the end of the war, a man tries to try his luck in the gold mines in Arizona. But the Indians kill him. However, thanks to the magical power of some artifact, he ends up on Mars. The film ""John Carter: Between Two Worlds"" (2012) will be enjoyed by all fans of adventure fiction in Ukrainian live.",['adventure']
1128.jpg,Hitch's method / Shooting rules: Hitch's method,2005.0,6.6,"In this picture, we will talk about the legendary New York detective Alex Hitchens. According to the plot, Alex has already helped many men to achieve reciprocity with women. The film ""The Hitch Method"" (2005) will be enjoyed by all fans of dramatic comedies in Ukrainian live.","['comedy', 'drama', 'melodrama']"
1129.jpg,A beauty all over her head,2018.0,5.7,"At the epicenter of the plot is an ordinary girl who is obsessed with her appearance. The heroine of the film ""Beauty on all heads"" does not consider herself the most beautiful, but does everything to become one. Eternal diets, grueling training, fasting and other restrictions - this is a completely ordinary average day for her. She did not get out of the gym and plunged headlong into training to make herself, if not a top model, then at least an attractive girl. And the Gods and the universe seemed to hear her thoughts and calls for help. She flew off the exercise bike and hit the back of her head hard. Since then, she literally switched to another channel. Now she does not sit on diets and does not go to the gym, because she considers herself the most beautiful girl in the whole white world.",['comedy']
1130.jpg,Teacher,2011.0,5.7,"A typical American comedy from the category 18+ will tell the story of an attractive and carefree middle school teacher. The main role is played by the beautiful Cameron Diaz, and she is joined by Justin Timberlake and Jason Segel. The audience will not see anything new in this comedy - typical American humor ""for those who are older"", unobtrusive plot and cheerful, slightly worried characters. This film is worth watching only because of the sexy Cameron Diaz, who appeared on the screen in the image of a real ""bad girl"". Elizabeth Halsey works as a simple school teacher. At the same time, the girl simply hates her work: she does not respect both colleagues and students. In general, it is difficult to call her a teacher: Elizabeth behaves like a socialite, likes to drink and smoke weed, and the cherished dream of her whole life is to increase her bust, and the girl diligently collects money for the operation.",['comedy']
1131.jpg,John Farnham: The Voice of Australia / John Farnham: In Search of a Voice,2023.0,8.3,"The definitive theatrical documentary about John Farnham, Australia's greatest singer. We follow his journey from innocent suburban Melbourne to 60s pop stardom, through incredible ups and downs, and finally to record-breaking success as The Voice of Australia. This is the story of how the singer and the national audience found and believed in each other. John Farnham was 38 years old when the song ""Whispering Jack"" was released. No one ever doubted that he could sing, but the journey to finding his artistic voice and becoming Australia's most loved artist took half a lifetime. His album Whispering Jack is still Australia's best-selling album, and this documentary traces the personal and public life that led Farnham to become, and remains, Australia's biggest music act.","['biography', 'documentary', 'music']"
1132.jpg,Witch's house,2017.0,4.2,"A group of high school students, missing the adventures of their ass and were going to spend Halloween night in an abandoned house, but as soon as they entered, they became victims of a demonic witch who caused their anger. The movie ""The House of the Witch"" (2017) will be enjoyed by all horror fans in Ukrainian.",['horror']
1133.jpg,American star,2024.0,5.5,"The events of the film tell about an experienced mercenary who is used to not asking unnecessary questions. He simply does the work that others refuse to do. At the same time, the mercenary has rare skills for his profession, which makes him a useful ally for both entrepreneurs and politicians. The next task confronts the hero with serious questions. First, he finds himself on an isolated island, and then he learns about a shipwreck that claimed many lives. The man does not know the name of his future victim, nor her location. However, he must eliminate this person under any circumstances, because not only money is at stake, but also reputation in the criminal world. Will the main character be able to track down the mysterious victim and justify the trust of the esteemed customer?","['detective', 'drama', 'thriller']"
1134.jpg,A fugitive from birth,2023.0,4.9,"The story of the abduction of a daughter and the forgotten past, which suddenly surfaces, promises to be intense and emotionally rich. Reverend Jeremiah Jacobs and Martha are faced with the terrifying reality and incredible complexity of the situation, but they decide not to give up. Their determination to uncover the truth and hope for a better future, despite all the difficulties and dangers, creates the potential for a gripping drama where the characters fight for justice and reunification with the lost child.","['drama', 'western']"
1135.jpg,Einstein and the bomb,2024.0,6.2,"A documentary combining archival material and staged scenes to explore key moments in the life and career of the eminent scientist Albert Einstein. The film immerses the viewer in a journey through the life of Albert Einstein, starting from his early years and ending with global recognition. Through unique archival footage and carefully staged scenes, audiences witness key moments in Einstein's life, including his theoretical discoveries, scientific controversies, personal trials and political convictions. The film also touches on his complex relationships with family, friends and colleagues, as well as his contribution to the development of the scientific community and his role in the historical events of the 20th century. ""The Life of Einstein"" not only tells about the scientist's scientific achievements, but also seeks to show the man according to formulas, his human qualities, dilemmas and aspirations, making his character closer and more understandable to a wide audience.","['documentary', 'drama', 'historical']"
1136.jpg,Boss Level: Save the ex,2021.0,6.8,"Roy Palvel is a former commando who has accomplished many feats in his life. He left the service and now enjoys a quiet life without constant risk. But one day he finds himself in mortal danger. Several professional killers start hunting for the hero. He has to face ruthless killers who will stop at nothing to achieve their goal. The worst thing is that the hero cannot avoid death, no matter how hard he tries. But every time he comes to his senses and finds himself on the same day when this nightmare began. Will he be able to figure out what is happening and get out of the time loop? The movie ""Level with the Boss / Quantum of Time"" (2021) will be enjoyed by all fans of crime thrillers and science fiction.","['action', 'comedy', 'detective', 'thriller']"
1137.jpg,Self-sufficiency,2023.0,6.0,"Tommy, a young man, faces the most unusual and dangerous challenge of his life. He receives an offer to participate in a game where the ultimate prize is a million dollars. The gist of the game seems simple, but extremely risky: Tommy must avoid falling into the hands of a group of hunters who are trying to kill him. Realizing that the hunters attack him only when he is alone, Tommy tries to constantly be in the company of other people. But the task is complicated by the fact that none of his friends or relatives believe in the reality and seriousness of this game, considering it just a joke or a bad joke. Tommy is forced to fight for survival in complete solitude, without support and understanding from those around him. He must learn to act quickly and decisively under pressure and constant threat. His every move is closely watched by hunters, making his life one of continuous flight and stealth. In this deadly game, where the main prize is his life and a million dollars, Tommy must use all his skills and knowledge to outwit his opponent and stay alive.","['comedy', 'thriller']"
1138.jpg,Can you keep secrets?,2019.0,5.4,"Everyone has their secrets. But sometimes, you want to share the most secret with a random fellow traveler. The main character of the film finds herself in an unpleasant story that she could not have imagined. One day she was flying on a plane, and a very handsome stranger was sitting next to her. A conversation started between the two heroes, during which the girl revealed her innermost secrets to a stranger. She hoped that they would never see each other again after the plane landed at its destination. As you know, it is much easier to trust strangers with the innermost secrets than to tell about them to your acquaintances, and even more so to close friends. The main character told her secret to this man, but she had no idea how tight the world was. Very soon, the completely unexpected turns out. The handsome man from the plane turns out to be the main character's new boss. The girl feels extremely uncomfortable, because for her this situation is a complete fiasco. You should never share your innermost secrets with strangers, because everything said can turn against the speaker.","['comedy', 'melodrama']"
1139.jpg,In the arms of lies / Greta,2018.0,6.1,"Frances is a young and pretty girl who moved to live in midtown Manhattan to make a fresh start in life. The main character of ""In the Arms of Lies"" rides the subway very often. One day she noticed a purse that someone had forgotten. She found the owner's business card in her purse. Frances decided to return the bag to her hostess. This is how our heroine met Greta, a lonely middle-aged widow. Between Frances and Greta, a friendship developed and they began to spend a lot of time together. But this continued until the girl realized that she had fallen into the arms of the lies of a crazy woman.","['detective', 'drama', 'horror', 'thriller']"
1140.jpg,Transit,2018.0,6.9,"The film repeats the plot of the book of the same name, but has a cardinal difference in the time period where the events take place. Instead of World War II, the action unfolds in modern Europe, where the role of Jews has been replaced by illegal refugees from the Middle East, and the punitive squads of the Third Reich are police raids. The main protagonist is the immigrant Georg, who escapes from government arbitrariness and temporarily moves from Paris to the port city of Marseille. Only those who have permission to leave the country under the pretext of a transit stay are allowed here.","['drama', 'melodrama']"
1141.jpg,Cadaver,2018.0,5.2,"Working in the police turns out to be much more difficult than it seems. This is just a real nervousness! Perhaps that is why there is such a turnover of personnel in law enforcement agencies, because not everyone can withstand such extreme stress. A strange and incomprehensible situation is happening with one of the employees of the police department. The woman had just come out of rehabilitation and wished to return to the service as soon as possible. She loves her work, which definitely affects her results. But maybe if she had known in advance what would happen to her on the very first shift, then she would not have been in such a hurry to go to work. In fact, such a situation can even drive her crazy... After all, it is not every day that a person can see a corpse that has come to life, and even under very mysterious circumstances. The girl who died during the rite of exorcism did not initially raise any doubts about the main character. This corpse arrived during her duty. But after some events, it began to seem to the policewoman that an evil spirit lives in this body, which has now decided to drive the poor heroine crazy. The policewoman must do everything in her power to understand what is really happening.","['detective', 'drama', 'horror', 'thriller']"
1142.jpg,211,2018.0,4.4,"A former customer deceives three mercenaries. Angry at the man who decided not to pay the fee for the completed assignment, the criminals go to the American province to collect their money themselves. The accomplices managed to find out that the customer keeps savings in a local bank, which they plan to rob. At the same time, we get to know the main characters of the film - two police officers. They are usually busy patrolling the streets, but this time they become educators and spend time with a difficult teenager. Driving away with the schoolboy in a police car, the men try to explain to him how important it is not to spoil his life now, in his youth. At this moment, an alarming message arrives. ""Code 211,"" the police radio broadcasts, meaning a bank robbery. By coincidence, the partners are in the next block, so they are the first to arrive at the call. A colleague of Mike Chandler is injured, so he has to fight the criminals almost single-handedly. You have to wait too long for help, so Mike and the teenager are forced to fight the robbers to prevent them from escaping.","['crime', 'drama']"
1143.jpg,my angel,2019.0,6.4,"Life always has such sufferings in store for a person, which will be the most painful. In the center of the film is a girl named Lizzy. She is a single mother who raised her child by her own efforts. She would have been an ideal mother if not for the tragedy that happened to her newborn daughter. The pain was too strong, and even after seven years, the heroine continues to mourn her daughter. A terrible fire took the life of a little girl. During this time, Lizzy finds out a very important thing. It turns out that time does not heal at all. The girl loses touch with reality because she thinks that Lola is her dead daughter. Sometimes everything gets confused in a person's head, and in such situations it is very difficult to find a way out.","['detective', 'drama', 'thriller']"
1144.jpg,Duplicate,2018.0,5.9,"Among the millions of residents of Manhattan, Jonathan seems like an ordinary person. A young guy, successful at work, modest and diligent - quite an ordinary young man. But no one knows the main thing - as soon as Jonathan falls asleep, a duplicate wakes up in his body, that is, another personality. Wakes up to lead an active life all night. These two ""neighbors"" know each other and even exchange video messages. But one day something happens that will break the fragile balance that has been established between both Jonathans. And this violation will end not just in a small quarrel, but in a real war of destruction. That's just who will get the victory, because both Jonathans have the same body...",['drama']
1145.jpg,Crazy vacation,2018.0,5.9,"A woman named Marion, who has been in her thirties for several years, is at the center of the plot. Being a self-sufficient person, she is not particularly concerned about her sexual relations. She loves men. A lady's list of lovers can be endless, and modern dating applications only help her expand the variety of men. She is used to dating in such applications, and it is not difficult for her to find a boyfriend for one night in order to have fun with him properly. Husband Ben is a very serious person who knows what the word routine is. There is nothing between these two heroes but an established dating app and romantic Paris. Marion and Ben fall in love on their first date. Crazy passion hit their heads, and the sweet couple planned a vacation together. But this vacation will be a real horror, because each hero has his own opinion of what the best vacation should be.",['comedy']
1146.jpg,French gigolo,2019.0,5.6,"The hero of the French film comedy is an elderly man whose peak popularity has long passed. From his youth, he was a handsome and sweet boy, young girls and even their mothers were delighted with his charming face. Alex was so pampered by women's excessive attention that he imagined himself as an unsurpassed handsome man, able to charm any person in a skirt. And so the frivolous butterfly fluttered all his youth from one flower to another, from a rich mistress to the most luxurious and generous lady. Years passed, the man lost his luster, he was replaced by tanned sports guys, and almost no one cared about the old-fashioned lovelas. But the inveterate protagonist did not want to admit his defeat and continued his love adventures. And when his roommate got tired of keeping the worm, he came to his sister. It is difficult to get used to the unusual environment and conditions of living in someone else's apartment, but he still hopes to hook another wealthy lady...",['comedy']
1147.jpg,White god,2014.0,6.8,"After her mother's departure to Australia, the main character stayed with her father, and her father is not happy with her dog Hagen. In addition, the dog is not registered, and the sanitary inspection begins to hunt for it. After running away from his mistress, Hagen goes through a series of fights, and then ends up in a dog shelter, where he starts a rebellion against the inhumanity of those who work there. The film ""White God"" (2014) will be enjoyed by all fans of thrillers in Ukrainian live.","['drama', 'thriller']"
1148.jpg,Agency of broken hearts,2024.0,0.0,"A cynical journalist recklessly ventures into therapy for broken hearts in order to write an article, but ends up falling in love with a charming therapist.","['comedy', 'drama', 'melodrama']"
1149.jpg,A Hero's Story: The Making of Percy Jackson and the Olympians,2024.0,7.8,"Along with a passionate cast and crew, follow Walker Scobell, Leah Sava Jeffries and Ariane Simhadri as they enter worlds fit for the gods, battle unforgettable creatures and perform legendary stunts.",['documentary']
1150.jpg,thanksgiving day,2023.0,6.2,"Residents of Plymouth, located in the state of Massachusetts, are waiting for Thanksgiving. Their desire is especially fueled by discounts that local stores regularly hold on holidays. One of the owners of a local shop decided to hold a big sale in order to make a profit. On the appointed day, a bunch of people, who want to make a good purchase and save money, burst into the hall with products and a tragedy occurs. Due to the haste of the crowd, some shoppers died from the stampede. The government turns a blind eye to this event and declares it an accident. A year passes, and the shocked victims have already forgotten what happened last year. Immersed in the hustle and bustle of the New Year, people learn that a killer has arrived in their city, who has already managed to take the lives of several victims. Will the police be able to arrest the serial killer who wanted to destroy the atmosphere of magic and the holiday?","['detective', 'horror', 'thriller']"
1151.jpg,Missing,2023.0,7.1,"June is an ordinary 18-year-old girl. The mom recently announced that she wants to go to Colombia to spend a short vacation with her new beau. At this time, her daughter was having fun at parties and talking with friends. But at the time of the return, the father did not appear at the airport, which caused great concern. The woman and her lover did not answer the calls, and the authorities could not help find the American woman in a foreign country. Worried about her loved one, the young heroine decided to conduct a search on her own, using all the possibilities of the Internet.","['detective', 'drama', 'thriller']"
1152.jpg,Bone breaker / Bone breaker,2023.0,5.1,"At first glance, Harry leads the life of an ordinary middle-aged man. He works as a coach at a school and is no different from thousands of others like him. And few people know that in recent years the man does not live, but exists. A few years ago, a terrible tragedy happened in Harry's life. His only teenage daughter was kidnapped by a gang of smugglers and killed. The bandits did not pay for the death of his child. Harry lost the meaning of life, and an eternal sense of guilt settled in his soul. The news about the disappearance of one of his students helps him to get out of a state of deep depression. Harry begins to suspect that the girl has also become a victim of the same smugglers who killed his daughter. Disappointed in the actions of the authorities, he decides to start his own investigation. Realizing that time is working against him, Harry spares no means to get on the trail of the bandits. Relying only on his own strength, he administers justice, following only his principles and is obsessed with the desire to take revenge for the death of his daughter. And it does not matter to him that his justice does not correspond to the laws. The main thing is to save the girl and punish the criminals.",['thriller']
1153.jpg,Survivor,2023.0,5.4,"In the main role is the virtuoso sergeant Richard Mirko, who faces a difficult task: to save the family of a defenseless American preacher. An insightful story unfolds in a dusty desert shrouded in danger and betrayal. Mirko, who remains a warrior at heart and soul, must overcome the difficulties of not only fighting enemies, but also his own inner demons. His willpower and steadfastness are tested to the limit as he risks sacrificing everything to save strangers. Will and compassion intertwine in this gripping cinematic opera as Mirko finds himself in a heroic confrontation with powerful enemies who know the sands of Afghanistan well. The question is whether the War Horse will be able to overcome all the obstacles that he will have to face on his dangerous path, and ultimately save the preacher and his family. Do not miss this unforgettable film that fills the viewer with the energy of action and emotional power, and which will give you hours of exciting cinema at the highest level. From the burning desert of Afghanistan to the thrilling finale, War Horse will let you experience the true meaning of service, courage and love.","['drama', 'war']"
1154.jpg,A knock on the door,2023.0,6.1,"The family decides to go on a short trip to relax in nature. They settle in a house in the middle of the forest. Parents and their child are having a great time until a few strangers appear in their lives. In the evening they knock on the door of their house. The men are armed. One of them, introduced by Leonard, tells the heroes that a real apocalypse is coming to Earth. But the family can save all of humanity, for this only one of them will have to sacrifice his own life.","['detective', 'drama', 'horror', 'thriller']"
1155.jpg,The players,2024.0,5.7,"Mack, a sports journalist from New York, has never fallen in love. Together with her friend Adam, she developed several schemes for a successful pickup. But the conquered boys did not stay with her for long. She made them fall in love with her and threw her away after achieving a certain goal related to their wallets or simply quenching their desires. By and large, she and her friends were con artists who broke the hearts of people who fell into their traps. One day, the girl falls in love with one of the victims of a successful dating scheme - Nick. Now she will have to find a way to keep her lover and go through this game called family life to the end, leaving frivolity in the past.",['comedy']
1156.jpg,Kill me if you dare,2024.0,3.8,"In the mysterious world of 2024, where technology is intertwined with emotions, an impressive story of love and devotion is born. ""ZABIJ MNIE, KOCHANIE"" is a fascinating journey into the depths of the human soul, where broken hearts search for answers to questions about the true essence of love. In this film, we follow two lovers - Eliza and Max - it's like listening to the beating of their hearts, which beat to the mysterious rhythm of the future. They are like poles, attracted to each other, despite the fact that danger and mystery stand between them. With every look, every touch, they reveal their darkest and most intimate fantasies, but will they be able to survive in a world where every moment could be their last? Picking together small scraps of their past and present nightmares, the film offers viewers a deep reflection on how strong love can be, as well as the price we pay for our desires. This film is a cry of the soul that reverberates in the echo of the future, leaving a mark in the hearts of the audience forever.","['comedy', 'melodrama']"
1157.jpg,Love in the square again,2023.0,4.5,"When a new job begins to interfere with their life together, the relationship between a famous journalist and a pragmatic teacher is threatened. We recommend watching the movie ""Love in the Square Again"" (2023) in Ukrainian for fans of comedy and melodramatic films.","['comedy', 'melodrama']"
1158.jpg,Army of thieves,2021.0,6.4,"This film is a prequel to the story told in Army of the Dead. Ludwig Dieter is a simple bank employee who turns out to have a unique talent. A young man is an excellent safecracker who attracts the attention of a mysterious stranger. She offers him to become part of a team of robbers who do big scams. All members of the team have long been on the Interpol list, but this does not stop them from breaking into impregnable safes all over Europe. Ludwig agrees to become one of them and use his talent to the fullest. But what difficulties will they have to face?","['adventure', 'comedy', 'crime', 'horror', 'thriller']"
1159.jpg,Mission Segmat,2018.0,7.7,"The province of Kashmir, located on the territory of India, has always been famous for the restless nature of local residents. The local population has always wanted change for the better, but as you know, violence is not the best way to achieve your goals. Sekhmet, who is a native of this place, marries a citizen of a neighboring country. This fact can ambiguously affect the future of a brave girl. But few would guess that she is a spy who is going to lead her game. Her husband is a respected person in his country, and therefore his wife must respond to him one hundred percent. She is going to play the role that was assigned to her by her life to the last. No one should remove her mask, or she may not get well. Behind the screen of her successful marriage, the heroine will perform a variety of tasks. The girl is ready to fulfill everything that is required from her. She is not used to stopping before obstacles, but overcoming them. What really drives the actions of Sekhmet, who risks her life?","['crime', 'drama', 'thriller']"
1160.jpg,Iron claw,2023.0,7.6,"The main characters of the film are wrestlers who have dedicated their lives to numerous fights. Their weekdays are grueling training, and every fight can be the last in their lives. Fights without rules are often cruel and unfair. Powerful young men descend on the audience, which appropriates them with numerous applauses. It is clear that the people present at the match want only a fleeting spectacle and the fate of those who perform for them is of little concern. The main characters of this film are half-brothers, children of the famous superman in the past, who dreams of making them. The boys face a series of difficult tests and challenges on the way to their goal. The viewer can observe unique characters. Each of them has its own motivation and character.","['sport', 'thriller']"
1161.jpg,Batman: The Beginning,2005.0,8.2,"Bruce Wayne is rich, respectable, famous, has a lot of interest among women, and in general, everything is going great for him, but few people know what the young man had to go through before he received all these laurels of the winner. Many years ago, when I was still a child, the Wayne family was attacked. During the fight, the criminal shot his mother, then his father. Thus, Bruce remained an orphan, and it is difficult to say what would have happened to him if it were not for a wise martial arts instructor who had previously worked as a court worker. This is how the path of transformation began, there were daily training sessions, and ten years later, the world saw a strong, courageous, invincible Batman from a fragile boy. A law enforcement officer, a bat, a hidden personality, whatever he was called, but the hero successfully coped with his burden, he caught only the most stubborn scoundrels, and left them to the police for further transfer to places not so distant. Meanwhile, no matter how persistent you are, no matter how much money you invest in your uniform and protection, the day will come when an equally serious opponent will appear in front of you, and then it will be simply impossible to predict the outcome of the match.","['adventure', 'crime', 'drama', 'thriller']"
1162.jpg,Pirates of the Caribbean: Salazar's Revenge,2017.0,6.5,"Charismatic, resourceful and enterprising captain Jack Sparrow realizes the need to change his little ""Pearl"" to a newer and more comfortable ship. He quickly finds a replacement for his vessel and sets out to realize his grandiose plans. Danger again loomed over the poor sea wolf's head. He is determined to challenge the problematic circumstances of recent years, which are literally suffocating him. Jack challenges Salazar and his henchmen, who do not leave the poor man alone. A new enemy has declared war on the sea element. His main task is the complete destruction of all pirates of the Caribbean Sea. He and his team will not rest until justice is served. A bloody battle between two opposing camps is brewing. The sparrow is desperately looking for a way out, but even the sky itself turns away, unable to resolve the diabolical situation that has arisen. Only the trident of Poseidon, which gives complete control over all waters, will defeat the madman. Even Hector Barbossa comes to the rescue, because the common enemy is much more dangerous. Will the heroes be able to stop the impending threat and find the legendary artifact?","['adventure', 'comedy', 'fantasy']"
1163.jpg,Pirates of the Caribbean: On Stranger Tides,2011.0,6.6,"Captain Jack Sparrow continues his futile attempts to locate his elusive ""Pearl"". The rulers of European states announce the opening of a worldwide hunt for the legendary Source of Life, hidden on one of the lost, uninhabited islands. Jack is initially uninterested in the commotion, but soon he is forced to join the search, along with his old enemies, allies and lover. Poor Joshami Gibbs is arrested and sentenced to death by hanging. The hero cannot leave the suffering assistant in such a delicate position and arranges an unthinkable escape. Which is safely stopped and the grief of the savior is also taken prisoner. The English monarch offers a deal if they join the expedition and find the treasure, then they will be pardoned and generously rewarded. A shrewd sailor steals a map from his skipper and burns it, having memorized the landmarks in advance. Not only does the filibuster want to know, Edward Teach, known as Blackbeard, easily lures the hero to his side, blackmailing him to lead to the cherished goal.","['adventure', 'comedy', 'fantasy']"
1164.jpg,Pirates of the Caribbean: At World's Edge,2007.0,7.1,"Many consider the age of piracy to be a relic of past centuries, that the days of pirate rule and mischief have come to an end. The enterprising and merciless Lord Beckett seriously took up the filibusters. He set himself the task of completely exterminating this whole breed of robbers for easy profit, which greatly annoys the business. A cunning, lying and clever nobleman managed to win the heart of the sea devil and force him to do the dirty work instead of him. The ""Flying Dutchman"" was replenished with new sailors in the form of soldiers of the Royal Guard under the sensitive leadership of Admiral Norrington. Dave Jones is already on the edge, he is obliged to obey, but he is tired of such an activity. The pirates decided to convene the Brotherhood Council, gathering all the legendary corsairs together and finally put an end to the massacre. Beckett plans to use the opportunity and cut the entire gang together, having first lured them into the open sea. Jack Sparrow has the most important role in his plan, because the rascal is incredibly happy. Finally, the outlaws discuss what to do next, realizing that they need the Sparrow, Will and Elizabeth decide to free him from the Valley of Vengeance. Will the heroes be able to find a place hidden from prying eyes? What will the legendary captain do?","['adventure', 'comedy', 'fantasy']"
1165.jpg,The call of the wolf,2019.0,6.9,"The young man at the center of this story is a submariner. This young professional has a gift that is very rare for a person. The point is that the submariner can recognize any sound he hears. His unique ears are able to distinguish the smallest details of sound waves. Now the lives of people depend on his unique gift, and if he gets it wrong, it could cost every person on the submarine's crew dearly. When an event occurs that changes the attitude towards the main character, he sets himself the task of clearing his honest name. In order to prove the innocence of his colleagues, the hero begins to conduct his own investigation. As a result of the event that happened, the planet finds itself on the verge of a nuclear conflict that could end with the end of the world. World war cannot be allowed under any circumstances, and in this case the most desperate methods will be used. Having received the main order from the superiors, the crew of the submarine on which the main character serves must do everything possible to stop the madness that the Earth is on the verge of.","['drama', 'thriller']"
1166.jpg,Enemy of the state,1998.0,7.3,"Congressman Phil Hammersley opposes the bill, which he says encroaches on Americans' privacy. His opponent, Thomas Reynolds, is trying to get this law passed at any cost. NSA agents kill Hammersley, who refuses to make concessions. An accidental video recording of this murder falls into the hands of lawyer Robert Clayton Dean. Now, NSA agents begin chasing Dean to recover this dangerous tape. Dean's life turns into a complete horror, but he has no idea who and why is trying to ruin his existence. But after some time, Robert Dean still finds a videotape and turns to his friend, a former intelligence analyst, for help. The film ""Enemy of the State"" (1998) will be enjoyed by all fans of crime thrillers and dramas.","['crime', 'detective', 'drama', 'thriller']"
1167.jpg,If you were the last,2023.0,6.3,"The main characters are two islands, Jane and Adam. They face the risk of quick death. The couple is aboard a spaceship. The navigation and communication equipment was broken. With the heroes is the body of Benson, who has already died. However, the survivors are actively fighting for their lives. Among the goals is the search for the necessary wires to be corrected by the system. Attempts do not lead to the desired result. The couple communicates and gradually gets closer, because there is no way to return home. Soon the guy offers the girl to meet. However, the heroine opposes this decision, because sooner or later attachments will arise. Sincere feelings appear quickly. In the future, the latter will be able to return to Earth.",['comedy']
1168.jpg,Predatory night,2024.0,3.8,"In the depths of the dark and mysterious story of the former policeman Fallon hides his terrible secret - he is a vampire. Returning to the place where a terrible crime once took place opens a new chapter in his life. The inhabitants of a small town, who at first see him only as a mysterious stranger, gradually begin to realize that something much more sinister is hidden behind his gloomy appearance. Fallon, who feeds on blood and fear, brings an element of horror and uncertainty to life, forcing them to rethink their perception of good and evil. The story takes a new turn when Fallon meets a family of immigrants who, unaware of his supernatural nature, show him kindness and hospitality. This acquaintance forces him to reconsider his views and make a decision that can change his fate. Fallon is at a crossroads between continuing his bloody path of revenge and a chance to atone for his sins. This film immerses the viewer deeply in a story about the conflict of inner demons and the possibility of salvation even for those who seem hopelessly lost.","['horror', 'thriller']"
1169.jpg,The one that runs through the labyrinth,2020.0,5.4,"A young girl gets into an accident, after which she comes to her senses in a strange labyrinth. This place is literally teeming with terrible creatures that do not leave their victims alive. But even if you manage to survive a meeting with them, it is not a fact that you will remain alive. Every seven minutes, sections of the maze disappear, and everyone who did not complete the level remains there forever. It turns out that the heroine became a participant in a deadly game organized by unknown people. She remembers only that she got into the car of a stranger who kindly agreed to give her a ride. Will Lisa be able to pass all the traps and deal with the evil creatures? The movie ""She Who Runs the Labyrinth"" (2020) will be interesting to watch in Ukrainian online for lovers of dramatic thrillers and horror movies.","['drama', 'horror', 'thriller']"
